job_title,company_name,time_posted,num_applicants,job_description
Analista de Datos,As Talento SAS| Headhunter | Seguridad y Salud en el Trabajo,1 day ago,168 applicants,"Se requiere Ingeniero Industrial, Administrador de Empresas o afines, que cuente con experiencia certificada de
1 año en manejo y análisis de datos. Indispensable conocimientos avanzados en Excel. Deseable conocimientos en Power BI."
Analista de datos,MEGALINEA S.A.,3 months ago,,"Importante entidad financiera requiere para su equipo de trabajo un ANALISTA DE DATOS SENIOR con mínimo 1 año de experiencia realizando procesos de análisis de datos, tableros de control y generación de informes gerenciales. Buscamos personas profesionales o estudiantes de últimos semestres de carreras administrativas, de analítica y gestión de datos y/o afines.
Conocimientos específicos: Excel Intermedio, SQL y paquete office, deseable con conocimientos en Power BI y SAS.
Condiciones
Tipo de contrato: Indefinido con todo lo de ley.
Lugar de trabajo: Hibrido
Horario: De oficina NO labora ni sábados, domingos y festivos
Salario:2.600.000
Beneficios corporativos"
Data Analyst,IPG Mediabrands Colombia,5 days ago,,"Buscamos Data Analyst para la ciudad de Bogotá.
Objetivo del cargo: Generar valor agregado al equipo y a cliente, a través de la información suministrada por las diferentes herramientas, tanto de competencia como de implementación digital. 
Requisitos:
Profesional en administración de empresas, mercadeo, publicidad o afines con altas capacidades de manejo, entendimiento y análisis de datos. Herramientas: office, deseable: conocimientos en plataformas digitales de google y meta, y Adobe.
Funciones: • Activar las herramientas de estudio en audiencias, inteligencia de mercado para generar valor a través de los informes solicitados por el equipo (IWKS, MMW, TOM MICRO, TGI, ADMETRICKS, SYSOMOS, BOLT. • Garantizar confianza en los datos suministrados a través del correcto manejo de la información. • Actualizar con la periodicidad requerida, las bases de BOLT a través de las plataformas activadas para este fin (IMTWISTER). • Asegurar la entrega de análisis de acuerdo con las expectativas del planner, Director de Cuenta, Estratega de Comunicaciones y para correcto entendimiento de las diferentes hipótesis levantadas para el cliente. • Realizar análisis de la competencia de cada categoría (con descarga de piezas y campañas) • Garantizar de una manera precisa y confiable, la descarga de bases de inversión Atl y Digital (IBOPE, SHAREABLE, ADMETRICS, con cualquier otra fuente de información proporcionada por la compañía.) Realizar seguimientos y reportes de las novedades de los competidores tanto en ATL como en Digital. • Enviar reportes semanales de rating (Dashboard)
Ofrecemos excelentes beneficios, Plan carrera, Modalidad Hibrido, Contrato indefinido 100% prestacional, Estamos certificados por Great place to work"
Analista de datos Bogotá,MEGALINEA S.A.,2 weeks ago,,"Importante empresa del sector financiero requiere para su equipo de trabajo analista de datos, personal que cuente con mínimo 1 año de experiencia realizando procesos de análisis de datos, tableros de control y generación de informes gerenciales.
Requisitos
Profesional o estudiante de 7 semestre en adelante
Condiciones Laborales
Horario: Lunes a Viernes de 7:30am a 5:00 pm y sábados ocasionales. Modalidad hibrido
Salario: 2.600.000
Contrato: A término indefinido directamente con la empresa.
Ofrecemos estabilidad laboral y crecimiento profesional dentro de la compañía."
Analista de Datos,Advanced Fertility Center of Texas,5 days ago,101 applicants,"Importante empresa del sector automotriz requiere profesional en Administración de Empresas, Economía, Ingeniería u otro campo relacionado con experiencia mínima de dos años en Análisis e interpretar datos, relacionados con desarrollo e implementación de productos asociados al comportamiento y preferencias de los clientes. Realizar el monitoreo constante de la operación y del performance de los productos del área de customer intelligence
Lunes a viernes
Manejo avanzado en Excel Power BI, Tableau"
Analista de Datos,Advanced Fertility Center of Texas,5 days ago,85 applicants,"Importante empresa del sector automotriz requiere profesional en Administración de Empresas, Economía, Ingeniería u otro campo relacionado con experiencia mínima de dos años en Análisis e interpretar datos, relacionados con desarrollo e implementación de productos asociados al comportamiento y preferencias de los clientes. Realizar el monitoreo constante de la operación y del performance de los productos del área de customer intelligence
Lunes a viernes
Manejo avanzado en Excel Power BI, Tableau"
Data Analyst,SII Group Colombia,2 weeks ago,,"Requisitos:
Profesional en Ingeniería de Sistemas, electrónica o carreras afines.
Experiencia mínima de tres (3) años como Data Analyst o Business intelligence.
Experiencia con SQL y Azure
Indispensable:
Manejo de APIs
Nivel de inglés B2 (Conversacional)
Deseable:
Conocimientos en CI/CD
Experiencia con migración de On premise a Cloud
Número de Vacantes: 3
Condiciones Laborales:
Salario: A convenir de acuerdo a la experiencia + beneficios
Tipo de contrato: A término indefinido
Lugar de trabajo: Colombia"
Analista de datos,Cooperativa de Hospitales de Antioquia - COHAN,4 days ago,137 applicants,"Somos una empresa Multiactiva del sector salud con más de 40 años de trayectoria contribuyendo al cuidado de la salud con calidad y transparencia.Hoy nos encontramos en la búsqueda del mejor talento para nuestra área de TIC, debes contar con experiencia minina de 2 años en Analítica de Datos, y tendrás como misión el análisis de la información generada por los sistemas de información institucionales con el fin de optimizar procesos y facilitar la toma de decisiones a nivel táctico y estratégico.
Dentro de tus competencias profesionales debes contar con muy buena orientación a los resultados, planeación, análisis de la información, persistencia.Requisitos que debes tener en cuenta.
 Profesional en Ingeniería de Sistemas, industrial o áreas afines.
 Experiencia certificable mínima de 2 años realizando Análisis de Datos.
 Estudios en analítica de datos, inteligencia de negocios, ciencia de datos, gestión de información.
 Debes contar con conocimientos en:
Manejo de bases de datos
Manejo de (Power BI , MySQL, PostgreSQL)
Si estas interesado y cumples con estas condiciones
¡Anímate a ser parte de nuestra gran familia!"
Analista de datos o Datamarshall / Manejo de power BI y SQL,BRM S.A.S,1 week ago,63 applicants,"¡Únete a nuestro equipo y conviértete en el arquitecto de la información valiosa! Buscamos a alguien apasionado por extraer, analizar y convertir datos en conocimiento. Tu misión será crear alertas e informes que impulsen nuestras operaciones, campañas y la satisfacción de nuestros clientes. Si eres un experto en la interpretación de datos y deseas marcar la diferencia en nuestra empresa, ¡postúlate hoy mismo! Tu talento es la clave para nuestro éxito.
Reconocida compañia de telecomunicaciones busca incorporar a su equipo un Arquitecto de datos con las siguientes especificaciones:
Formación: Tecnico, tecnologo o profesional en ingeniería, estadística, marketing o carreras afines.
Experiencia: Mínimo 1 año en el cargo o similares.
Manejo Power BI y MySQL.
Salario: Básico de $ 2.200.000 + prestaciones de ley.
Horario: lunes a viernes / Horario de oficina.
Modalidad: Presencial.
Contrato: Indefinido.
Ciudad: Bogota o alrededores.
¡Esperamos contar con tu talento pronto!"
Analista de datos,Tecnología Informática,3 weeks ago,170 applicants,"Importante empresa de tecnología líder en el mercado requiere Analista de datos con dos años de experiencia realizando analítica de datos, con conocimientos en Power BI y Excel Avanzado.
Salario 1,600,000 + BONO MENSUAL DE CUMPLIMIENTO DE $ 200.000 + Aux de transporte + Prestaciones de ley
Contrato indefinido
Labor hibrida en la Castellana.
Oportunidades de crecimiento"
ANALISTA DE DATOS MAESTROS - INGLÉS B2,Holcim Colombia,1 week ago,89 applicants,"Ubicación:
Medellín, Antioquía, CO, 050010
Número de empleo: 6435
Somos el Centro de Servicios Compartidos del Grupo Holcim. Desde Americas Business Services (ABS) nos encargamos de gestionar los procesos clave para nuestros negocios en Norte, Centro y Suramérica como socios estratégicos a través de la generación de valor. Tenemos como objetivo brindar soluciones de clase mundial en temas de compras, comercial, talento humano, finanzas y servicio al cliente.
Hacemos parte de Holcim, líder mundial en soluciones innovadoras y sostenibles para la construcción. Tenemos la misión de descarbonizar la construcción para mejorar los estándares de vida en todo el mundo, de la mano de nuestros 60.000 colaboradores.
¡TRABAJA CON NOSOTROS!
Tendrás la oportunidad de compartir la pasión que tenemos por nuestro planeta, aportar perspectivas innovadoras, dentro de un entorno dinámico y retador, que promueve la diversidad e inclusión.
Porque solo si trabajamos juntos en una cultura en la que todos prosperamos, podremos construir el mundo en el que todos queremos vivir.
TE ESTAMOS BUSCANDO:
 Analista de Datos Maestros.
Tu rol:
Analizar y atender las diferentes solicitudes de creación, modificación y reportes de datos maestros de clientes, precios, y otras entidades de datos relevantes dentro del proceso comercial de Holcim; de acuerdo a los procesos y estándares definidos por cada uno de los países, identificando oportunidades de mejora, con el propósito de contribuir al crecimiento del negocio y ser un aliado estratégico.
Tus principales retos serán:
Analizar y depurar datos maestros -masivos- de calidad y oportunos relacionados con la información del cliente, para solucionar los requerimientos del negocio y fortalecer el proceso comercial. 
Proponer y ejecutar activamente proyectos de mejora continúa dentro del proceso de O2C, para entregar valor agregado al negocio, equipo y demás procesos de ABS. 
Analizar y organizar reportes relacionados con los datos maestros de los clientes, requeridos por el negocio u otras áreas de ABS; para facilitar la toma de decisiones del área comercial. 
Apoyar la implementación del modelo operativo de datos maestros, para fortalecer el proceso comercial y financiero. 
Lugar de trabajo: 
Medellín/Hibrido.
Requisitos indispensables:
Estudiante universitario de octavo (8) semestre culminado, o profesional en ingeniería industrial, carreras administrativas, negocios internacionales y/o comerciales.
Mínimo un año de experiencia en datos maestros y análisis de datos. 
Manejo de herramientas ofimáticas (Windows, Office, Google apps). 
Excel avanzado (Manejo de visual basic, macros, script). 
Inglés B2, speaking C1. 
Beneficios:
12 medios días libres al año. 
Día del cumpleaños libre. 
4 primas extralegales al año. 
Medicina prepagada al 66%. 
Seguro de vida al 100%. 
Requisitos deseados: 
Data Studio o Power BI (Deseable). 
¡NO TE PIERDAS LA OPORTUNIDAD DE SER PARTE DE NUESTRO EQUIPO!
¡CONSTRUYE PROGRESO CON NOSOTROS!"
Analista de datos,Messina Market & Catering,4 days ago,37 applicants,"Reconocida multinacional del sector Consuno, requiere para su equipo de trabajo, DATA & ANALYTICS ANALYST
Estudios: haber finalizado sus estudios de técnico, tecnólogo o profesional en análisis o ciencia de datos, ingeniería industrial, ingeniería de sistemas, ingeniería de procesos o relacionados
Requisitos
Ingles B1
1 año de experiencia mínimo en análisis de data, generación de reportes en POWER BI, deseable experiencia en manejo de POWER APP'S Y POWER AUTOMAT, conocimiento en diseño de procesos.Funciones:
 Desarrollo de reportes que soporten los procesos de toma de decisiones en supply chain,
 Desarrollo y utilización de herramientas internas de automatización
 Optimización de procesos
 Alimentación de data
 Estructuración y rediseño de procesos.
Horario de lunes a viernes de 08:00 a.m. a 5:30 p.m.
Salario básico $2.500.00 + todas las prestaciones de ley."
Analista de Datos /Bogotá,MEGALINEA S.A.,3 weeks ago,134 applicants,"Importante empresa prestadora de servicios se encuentra en búsqueda de Analista de datos, profesional en administración de empresas con 1 año de experiencia, en manejo de datos, estadísticas parte comercial, excel intermedio avanzado se hace prueba, manejo programación y low code, liquidación comisiones, bases de datos, KPI ́S
Horario: Manejo y confianza
Contrato: Indefinido
Salario: $2'600.000 + prestaciones de ley"
Analista de datos - Alteryx,KPMG Colombia,1 week ago,,"¡Bienvenido a nuestra oferta en KPMG!
Te cuento un poco sobre nosotros: Somos una de las Big4 posicionadas a nivel nacional e internacional, nuestros servicios están enfocados principalmente en realizar procesos de auditoría, impuestos, servicios legales y consultorías tanto en sector público como sector privado.
Ahora que tienes un contexto más claro queremos mencionarte qué estamos buscando:
 Profesional en ingeniería de sistemas, matemáticas o afines, estadística, administración, finanzas o afines
Experiencia en modelamiento de datos, análisis de datos, big data, programación en Alteryx, SQL, Python, POWER BI
Personas con una calidad humana extraordinaria, dinámicos, serviciales y carismáticos.
Contamos con una serie de beneficios que conocerías durante el proceso de evaluación. Te ofrecemos un contrato a término indefinido con horarios de lunes a viernes de 8:00am a 6:00pm; no te preocupes, si estudias podemos conversar sobre la jornada.
Estamos interesados en crear una cultura diversa, equitativa e inclusiva, si quieres ser parte de ello ¡Aplica a nuestra oferta!
#BeExtraordinary #BeKPMG #MakeYourMark"
Data Analyst,Talent Disruptors,2 months ago,,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.
What You’ll Be Doing
Data Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze marketing data and extract meaningful insights. 
Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into marketing performance. 
Collaborating with Marketing Teams: Work closely with marketing teams to understand their data needs and provide insights that inform strategy and decision-making. 
Data Integration and Management: Integrate data from various sources to provide a comprehensive view of marketing performance. 
Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of marketing campaigns and strategies. 
Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development. 
Training and Support: Provide training and support to team members in using data analysis tools and understanding reports. 
Who You Are
Proficient in Data Analysis Tools: You have strong experience with tools such as Google Data Studio, BigQuery, and Power BI. 
Analytical and Insightful: You possess the ability to analyze complex datasets and turn them into actionable insights. 
Collaborative in Nature: You work well with marketing teams, understanding their needs and communicating data insights effectively. 
Skilled in Data Integration: You are adept at integrating and managing data from various sources. 
Detail-Oriented: You have a keen eye for detail and accuracy in data analysis and reporting. 
Proactive and Predictive: You are capable of conducting predictive analyses to inform future marketing strategies. 
Excellent Communicator: You can clearly convey data insights and their implications to non-technical team members. 
What Success Looks Like
30 Days
Establish a comprehensive, organized online database in BigQuery to store all client and marketing data and integrate lead data from CRMs, digital advertising data, customer opt-ins, and purchasing data to provide meaningful insights that inform marketing decisions. 
Create and maintain data dashboards in Looker Studio for easy data visualization, analysis, and automated reporting. 
60 Days
Develop statistical models for data analysis, including linear regression modeling and predictive lead scoring, that effectively guide marketing actions. 
90 Days
Automated the generation of actionable insights and trends over time from data analysis to inform our marketing strategy."
